x,y,0
0,17,9
4,14,5
23,21,5
19,13,5
7,26,5
19,6,5
27,6,4
22,9,4
24,28,4
9,24,4
9,25,4
24,11,4
17,24,4
11,2,4
9,14,4
2,15,4
17,20,4
12,8,4
11,14,4
6,25,4
18,1,4
25,14,4
14,26,4
26,7,4
26,11,3
25,27,3
21,0,3
27,16,3
27,19,3
25,15,3
17,14,3
25,16,3
7,29,3
11,7,3
25,17,3
20,5,3
20,29,3
11,11,3
4,2,3
27,27,3
20,8,3
3,28,3
19,17,3
17,28,3
11,18,3
11,19,3
27,15,3
7,15,3
10,24,3
26,15,3
6,22,3
24,29,3
9,17,3
6,10,3
6,9,3
15,26,3
25,3,3
26,22,3
6,3,3
16,1,3
6,1,3
11,24,3
5,27,3
26,25,3
5,25,3
24,14,3
7,13,3
10,6,3
20,23,3
5,8,3
10,21,3
9,28,3
7,11,3
8,15,3
12,23,3
0,1,3
2,7,3
2,6,3
28,24,3
1,3,3
13,21,3
12,20,3
12,22,3
12,24,3
2,11,3
19,10,3
22,25,3
29,7,3
29,14,3
21,9,3
0,29,3
18,21,3
13,7,3
21,12,3
1,5,3
2,29,3
14,19,3
0,3,3
15,6,3
11,28,3
11,27,3
12,10,3
14,18,3
28,17,3
18,10,3
19,12,3
28,10,3
23,3,3
13,8,2
8,16,2
22,8,2
14,24,2
15,27,2
20,13,2
20,16,2
14,27,2
9,9,2
8,22,2
8,25,2
22,3,2
13,17,2
8,24,2
20,14,2
16,4,2
25,13,2
21,27,2
22,2,2
22,1,2
9,2,2
9,1,2
13,22,2
8,27,2
13,23,2
8,29,2
15,10,2
9,18,2
15,3,2
15,4,2
10,25,2
12,15,2
12,14,2
23,26,2
23,22,2
11,6,2
22,29,2
11,8,2
8,13,2
23,4,2
23,17,2
12,1,2
23,15,2
23,11,2
15,15,2
21,5,2
13,4,2
10,18,2
24,27,2
13,3,2
24,19,2
22,12,2
21,8,2
12,29,2
11,21,2
22,23,2
24,15,2
24,13,2
10,2,2
24,10,2
12,21,2
15,19,2
10,16,2
22,17,2
9,7,2
16,12,2
19,20,2
1,25,2
18,15,2
2,0,2
2,1,2
2,2,2
2,3,2
2,9,2
2,12,2
18,3,2
28,13,2
3,2,2
3,4,2
28,12,2
3,8,2
3,13,2
3,14,2
28,7,2
28,2,2
3,19,2
3,21,2
3,29,2
4,0,2
4,5,2
17,16,2
27,21,2
28,29,2
18,16,2
1,18,2
0,20,2
0,2,2
0,5,2
29,27,2
0,8,2
29,19,2
0,11,2
0,12,2
0,13,2
0,14,2
0,15,2
0,19,2
0,23,2
1,17,2
1,0,2
1,1,2
29,13,2
1,4,2
1,6,2
29,9,2
1,9,2
1,10,2
18,18,2
1,15,2
29,4,2
