x1,x2
1.27,26.13
16.33,29.4
4.57,16.04
24.19,4.59
17.11,12.03
7.07,23.61
23.57,27.65
2.24,9.9
9.52,18.71
13.42,28.18
6.6,24.5
4.22,0.79
3.23,26.18
6.79,28.67
0.43,18.24
12.99,19.54
29.62,13.05
3.6,11.22
15.23,5.71
11.74,1.27
7.64,8.71
6.93,19.42
8.85,6.19
22.9,29.73
5.72,27.52
9.49,4.95
20.52,7.06
18.45,1.66
28.1,13.41
13.77,19.17
16.42,27.13
0.21,29.05
23.94,12.83
9.95,9.33
3.59,26.16
13.13,27.3
23.75,19.38
1.98,12.53
25.64,15.08
27.12,24.56
11.0,24.06
18.89,2.66
22.54,26.43
26.07,14.73
26.26,24.96
9.26,13.88
12.73,26.62
16.06,27.34
26.53,15.31
12.68,12.31
10.04,22.61
8.35,6.13
28.59,17.32
8.08,29.51
0.67,24.05
3.96,1.21
22.32,28.78
14.36,22.13
18.14,25.71
14.75,28.11
26.11,24.03
20.64,28.42
6.22,20.29
23.29,20.22
22.7,6.55
20.0,15.9
22.8,7.32
8.86,10.23
4.89,0.31
28.35,17.74
25.42,10.45
7.44,3.67
5.17,17.91
25.31,12.52
1.8,26.48
22.79,0.65
4.64,25.23
14.11,25.35
19.21,7.62
14.05,12.54
17.4,14.55
20.1,26.71
24.81,9.5
18.96,9.71
20.52,23.0
4.9,11.56
29.83,4.04
17.73,23.86
0.96,1.67
13.39,11.85
8.82,11.93
4.92,23.12
1.56,27.87
29.48,28.18
19.44,5.91
18.4,16.55
4.28,7.75
2.61,1.68
23.88,12.4
27.47,24.83
19.48,28.0
3.23,14.28
1.45,14.98
24.44,26.06
8.68,13.17
13.94,21.23
17.81,13.72
10.89,24.66
22.79,0.37
1.08,6.62
13.27,5.6
16.98,24.02
20.29,21.16
6.53,7.25
26.44,28.98
9.61,10.86
17.85,6.9
23.31,7.44
21.85,20.23
24.35,12.63
12.43,27.4
24.04,4.95
13.56,15.85
28.03,16.75
17.09,2.92
5.78,6.4
18.38,25.11
24.19,5.12
19.44,11.88
5.11,5.31
25.64,2.86
18.78,14.39
13.63,14.5
7.58,13.9
12.36,7.63
26.28,29.23
20.08,27.68
23.86,18.4
25.07,0.42
