x,y
46,19
27,32
16,24
19,30
19,32
27,36
19,33
30,48
29,20
22,37
15,42
39,34
21,28
32,38
29,28
25,22
25,29
43,19
19,23
33,35
32,17
38,46
40,34
43,48
39,21
39,17
20,39
28,47
16,27
27,47
15,37
23,43
25,32
46,47
33,39
42,28
48,18
46,19
19,20
23,32
37,28
25,28
25,16
29,22
25,24
40,16
35,25
43,21
40,40
42,43
27,39
43,42
26,30
18,48
29,20
39,17
40,24
25,40
20,46
23,20
31,39
40,29
47,29
39,47
38,42
17,38
43,17
41,31
20,38
32,45
26,36
15,38
26,41
49,49
33,39
29,30
19,43
28,39
40,17
26,15
27,33
26,45
28,48
32,23
25,33
28,29
15,43
19,34
39,47
43,43
49,39
34,28
28,44
43,33
42,28
21,32
24,37
18,39
18,28
24,44
16,47
24,17
42,43
23,35
49,40
23,28
42,34
37,41
35,41
24,44
48,38
23,19
42,37
47,24
46,26
49,31
29,37
31,27
34,30
31,39
22,37
30,15
18,45
23,16
43,34
32,38
24,49
19,34
42,25
28,40
29,15
33,47
42,47
22,32
30,18
31,16
42,42
27,49
22,44
16,43
40,44
26,30
33,20
36,25
48,23
47,37
43,23
47,18
28,38
32,44
30,26
26,27
33,32
45,39
21,24
16,17
46,30
38,20
20,44
46,35
24,16
34,35
40,42
24,47
41,21
44,15
28,40
28,49
23,29
29,37
35,39
37,34
41,29
21,24
36,18
39,39
30,23
17,44
16,49
19,18
31,47
46,41
38,34
32,35
44,15
20,16
17,37
17,43
35,18
21,38
32,49
18,41
17,36
30,21
48,38
23,47
36,29
21,25
41,21
33,29
28,39
44,40
15,49
17,48
39,43
18,29
44,43
36,41
28,48
29,29
45,18
36,36
35,22
30,48
23,47
38,42
24,23
24,18
24,20
15,17
38,38
36,39
23,37
33,25
48,31
19,23
31,47
19,34
47,29
44,26
23,19
36,17
20,29
36,30
45,43
26,16
43,40
42,20
49,20
43,21
39,20
35,35
40,34
25,39
17,16
27,19
20,18
23,37
36,37
33,36
21,45
39,41
33,15
31,34
37,29
16,30
34,22
47,23
22,22
47,40
31,15
34,34
19,17
45,37
15,44
36,33
36,45
34,47
16,37
24,25
40,49
31,19
32,15
41,35
33,15
21,40
29,44
48,26
41,15
43,36
41,28
36,22
42,37
38,30
43,32
30,23
20,36
41,37
18,43
41,31
17,37
46,29
23,22
40,20
45,19
36,27
34,46
16,44
27,28
28,38
28,44
40,38
38,22
41,32
45,44
19,20
45,26
30,45
16,27
17,33
16,44
24,15
28,26
15,33
21,34
24,21
30,43
36,17
32,47
49,45
16,19
15,19
47,21
20,40
31,46
31,34
35,35
20,27
43,37
45,19
39,47
27,35
25,36
29,46
47,16
39,25
49,28
40,33
31,41
33,47
24,15
35,23
46,42
21,21
24,49
41,19
43,32
20,39
22,17
27,21
48,31
43,30
28,27
23,45
46,49
23,37
27,16
29,43
19,36
45,21
36,38
15,15
18,37
46,45
32,31
35,24
43,24
48,48
26,16
25,34
31,18
35,41
35,43
29,18
16,47
19,28
24,42
49,35
36,15
37,42
27,26
27,41
34,36
44,30
40,19
22,47
31,44
32,49
25,48
15,21
24,24
24,31
26,36
26,49
27,19
25,36
27,28
17,28
35,34
30,17
48,17
30,32
36,29
15,19
35,20
23,37
33,23
32,21
40,34
44,49
40,24
31,25
28,46
43,33
16,39
33,32
20,32
25,42
44,29
31,32
47,39
42,33
39,31
39,17
27,18
27,35
15,29
22,19
29,43
44,23
40,40
28,35
44,27
32,38
17,41
24,17
22,39
32,49
19,44
39,34
27,28
28,22
45,38
34,20
44,26
30,28
29,22
30,31
16,20
35,40
49,16
30,18
21,44
34,45
18,43
23,28
15,33
26,49
35,19
15,39
35,46
24,31
18,31
43,45
19,33
46,19
26,28
46,38
48,31
27,20
31,28
48,32
48,25
18,40
15,23
25,32
33,17
38,26
20,47
32,37
23,47
17,37
46,37
37,49
32,30
17,46
37,46
46,45
23,30
18,38
30,49
44,41
16,33
33,42
23,39
21,16
18,42
35,19
17,24
16,42
38,24
21,21
16,43
49,23
37,45
47,24
34,37
18,39
18,44
46,36
42,28
33,21
31,40
28,16
27,45
46,36
38,19
26,37
36,23
41,33
30,16
19,37
31,27
39,30
34,16
19,41
28,22
41,34
46,48
39,20
44,44
32,24
20,22
28,19
36,24
25,47
34,18
41,46
17,17
29,38
39,38
20,32
46,29
46,21
42,29
37,43
32,43
27,27
40,47
36,25
19,42
26,37
46,27
31,18
32,29
34,33
23,18
39,48
40,40
42,48
42,48
46,46
43,44
38,16
20,34
38,32
27,40
38,44
18,44
30,45
34,28
45,39
36,24
46,20
26,15
37,22
48,48
23,43
48,35
35,32
39,32
40,40
22,19
49,16
39,45
44,23
27,34
18,16
41,43
48,42
23,32
43,33
47,29
49,24
41,21
45,18
42,25
24,23
23,26
49,37
45,27
41,35
15,32
22,23
16,15
42,32
46,26
25,32
46,48
23,39
39,15
21,27
28,22
41,41
19,20
40,33
28,30
27,48
37,23
30,15
26,39
35,31
22,28
37,17
49,38
29,30
45,30
39,41
44,22
45,29
39,37
18,29
35,40
37,32
31,24
18,40
16,18
41,35
16,49
37,18
36,34
28,23
18,26
15,19
49,15
41,21
18,26
20,39
29,26
32,34
28,20
19,23
28,45
44,25
21,40
48,25
17,35
49,17
23,45
42,41
36,30
43,27
49,24
44,49
41,34
39,46
26,20
25,21
27,41
31,16
17,36
40,24
20,32
38,37
40,48
22,20
28,31
49,43
36,45
40,48
49,44
41,24
22,46
32,16
46,25
20,32
19,34
26,40
36,20
49,18
29,46
33,32
16,28
34,38
40,16
17,39
18,42
25,41
38,28
29,29
41,33
33,44
41,17
38,20
48,22
29,49
29,15
23,21
42,29
27,19
48,38
38,15
20,21
44,16
21,39
34,34
31,25
33,42
40,19
22,19
23,43
38,47
16,28
19,22
30,39
27,26
30,36
47,42
46,21
20,39
41,26
42,20
37,27
45,40
16,35
47,25
38,45
23,17
26,33
34,42
42,21
23,40
21,19
24,41
23,33
27,35
19,15
18,27
44,36
32,24
48,36
27,37
24,33
46,32
31,16
21,30
17,31
37,49
23,19
41,30
46,30
39,17
32,44
34,31
15,39
35,38
32,32
24,49
22,29
19,33
45,28
44,39
25,38
19,34
20,28
43,33
36,34
41,28
35,29
22,29
42,49
19,39
32,22
46,21
35,27
23,48
35,47
48,28
25,46
20,47
21,28
28,29
48,43
41,36
25,33
45,34
21,45
47,18
49,37
19,43
17,20
42,41
17,31
28,24
45,19
28,42
37,39
18,43
27,46
25,27
18,46
22,18
34,44
34,23
40,22
22,18
20,40
23,44
47,34
17,49
17,25
40,28
15,21
39,44
47,30
43,38
16,46
29,45
16,42
31,17
22,44
33,48
36,33
28,41
46,39
35,47
21,20
47,29
49,41
16,20
21,18
42,40
31,30
20,16
44,18
16,18
25,39
19,27
47,40
27,19
48,40
18,18
34,41
21,24
17,41
19,48
35,42
25,42
35,17
44,20
43,22
18,25
25,18
46,40
29,18
49,37
45,31
18,46
34,16
40,25
38,47
16,17
28,20
35,24
47,49
25,21
17,46
32,25
31,34
49,21
37,23
44,27
45,18
18,36
47,45
33,22
29,28
20,29
18,37
29,43
45,27
47,33
27,27
46,31
20,23
16,21
44,48
45,41
30,39
34,44
29,43
33,16
24,28
30,34
16,19
25,17
29,26
33,38
19,43
28,22
41,17
22,37
44,15
25,42
46,20
36,39
22,20
47,46
37,33
27,48
49,37
28,23
19,33
32,23
24,29
35,44
16,42
35,39
40,33
26,38
25,32
25,16
26,19
23,34
21,39
45,18
30,35
19,17
30,45
26,47
33,31
32,24
30,29
39,46
45,31
25,21
17,48
32,45
32,47
36,48
25,17
18,44
49,26
43,23
15,39
31,43
44,46
22,30
30,37
17,39
43,18
31,28
21,15
19,45
38,35
49,39
16,18
20,33
37,18
36,29
39,22
41,39
21,23
47,49
40,15
38,40
30,32
28,39
43,17
32,45
34,24
41,18
34,32
29,28
29,28
34,23
46,19
23,41
45,32
18,36
29,20
32,23
47,20
27,49
24,37
28,35
29,26
45,42
37,37
48,21
34,27
43,24
29,26
38,47
25,15
26,48
42,23
44,31
32,22
42,47
48,48
36,42
47,34
40,36
33,18
42,43
38,39
20,21
42,15
41,34
30,22
31,44
35,37
25,44
38,39
45,20
42,30
26,47
25,40
26,29
23,19
38,21
41,41
18,43
49,28
20,23
43,46
25,28
49,22
32,37
22,37
19,28
43,24
22,42
43,24
29,47
22,47
47,40
31,17
31,35
34,24
21,23
16,15
40,43
33,35
16,19
49,31
24,35
38,20
48,33
31,33
19,29
28,24
15,15
38,15
29,22
41,42
39,23
45,32
15,41
19,34
31,23
15,36
26,15
49,40
19,22
15,36
30,25
31,31
48,19
22,33
39,31
15,29
15,22
30,28
15,39
42,43
32,30
24,25
42,24
28,39
30,43
42,39
26,19
15,49
32,44
18,44
17,18
22,37
19,47
49,34
28,32
40,49
49,48
39,40
17,19
22,22
20,19
27,29
19,21
25,39
41,25
35,42
22,19
20,37
39,29
26,27
35,24
41,25
18,18
41,35
25,24
27,45
48,48
35,20
16,23
45,23
30,38
34,28
27,21
26,43
24,44
41,15
45,20
24,17
36,15
22,22
16,41
44,49
18,45
28,46
21,20
47,30
34,29
44,28
28,24
29,43
37,48
40,17
20,28
48,29
28,49
30,17
25,25
27,33
35,46
33,36
22,27
39,15
43,40
44,19
44,39
47,43
28,18
29,29
16,22
39,49
32,39
48,42
23,46
39,25
15,47
17,37
19,39
31,48
27,29
20,45
41,36
23,17
26,15
32,45
44,37
24,21
44,34
28,19
16,42
41,21
48,20
30,45
36,30
32,35
48,38
46,22
31,18
32,32
24,33
41,20
41,37
28,48
33,34
49,40
28,18
22,40
28,31
46,39
32,25
28,36
38,22
20,27
16,26
28,21
23,15
29,31
44,22
36,45
20,44
20,43
19,34
41,33
15,26
41,41
40,18
30,17
20,33
38,46
34,44
29,48
24,38
44,27
44,31
24,48
36,46
35,34
28,38
37,25
45,30
47,32
36,23
39,22
41,34
19,49
46,26
19,32
20,22
19,24
15,45
36,35
32,23
48,22
43,17
17,22
33,20
29,37
19,25
30,28
34,30
49,29
24,20
41,25
44,15
37,36
26,25
23,19
26,29
45,39
28,32
34,39
25,33
28,45
44,40
45,16
49,36
23,46
38,23
33,21
23,30
32,46
38,20
31,49
32,29
36,48
31,44
44,47
48,49
41,18
39,27
37,33
31,28
22,28
46,33
27,31
49,17
45,36
35,40
43,38
22,15
35,46
31,15
37,46
21,32
32,26
28,49
32,18
36,18
35,45
44,27
15,28
37,31
49,29
45,17
46,21
46,45
41,39
20,28
34,30
33,39
19,49
47,23
36,33
34,42
49,42
24,31
39,20
23,46
40,41
41,15
26,15
38,20
30,35
40,45
21,26
44,43
38,32
37,45
31,18
23,41
16,28
41,31
38,23
36,48
20,41
35,27
46,32
41,30
44,38
38,16
27,46
28,34
38,35
19,46
23,21
47,36
29,19
39,35
43,41
19,42
25,25
17,35
23,27
26,45
29,36
44,37
19,18
27,23
37,25
22,31
30,34
31,27
27,37
16,37
29,18
23,31
40,43
26,35
18,28
42,25
19,41
23,41
24,49
29,49
15,29
35,23
25,33
29,22
24,47
34,21
45,43
39,28
22,28
20,31
35,26
28,31
21,30
29,41
17,33
40,33
22,49
36,47
24,32
16,21
36,34
46,18
43,44
32,40
15,45
39,47
28,20
35,34
27,28
36,48
27,38
47,23
30,36
19,19
23,37
44,45
36,48
25,37
27,44
38,17
23,48
37,43
42,29
37,31
28,35
45,27
49,35
40,22
49,24
28,34
28,20
40,47
35,24
48,46
26,37
24,17
34,44
33,18
43,41
43,20
45,30
37,45
34,15
46,35
45,15
19,24
46,29
38,29
24,47
34,24
18,23
31,19
28,34
22,49
24,15
17,29
33,43
49,49
19,27
20,24
21,18
24,41
20,39
18,41
41,19
31,19
41,26
21,40
19,25
22,37
38,29
30,42
35,37
49,49
47,38
20,26
47,30
26,23
15,25
16,37
46,20
41,19
48,17
15,15
31,48
21,18
24,20
46,41
22,38
28,17
21,48
49,42
22,35
30,46
23,40
28,44
22,43
21,49
32,44
24,30
41,44
25,15
27,40
47,17
44,42
35,42
17,34
19,27
23,45
48,33
35,23
17,48
29,35
43,22
35,27
32,18
37,26
30,26
49,39
46,17
44,28
42,22
36,35
41,24
19,39
28,24
38,24
30,38
20,46
46,32
19,44
43,33
15,43
49,36
49,48
23,20
32,30
30,39
38,36
45,21
22,39
29,18
32,26
28,22
28,37
49,27
38,43
43,39
18,27
35,19
43,49
39,28
37,41
38,40
23,24
49,49
40,23
42,18
34,30
30,29
27,16
20,22
42,35
42,16
29,26
39,25
47,23
35,23
33,22
37,41
33,20
22,29
39,32
19,43
33,26
36,36
16,20
48,40
35,43
22,43
43,21
33,43
32,18
23,37
32,32
23,18
29,18
29,41
38,25
38,21
27,34
33,47
20,23
36,17
36,16
45,36
16,31
36,23
36,41
25,38
21,47
24,28
24,24
24,21
19,38
25,35
45,29
35,25
49,25
24,21
28,20
31,41
34,38
18,28
36,21
19,16
30,30
21,26
43,29
32,45
42,22
17,44
30,34
25,33
47,25
49,45
44,42
41,32
19,41
23,38
36,30
30,49
19,29
20,31
27,22
37,17
21,36
16,39
20,35
36,21
46,15
21,31
36,20
35,26
34,34
23,44
40,17
40,33
47,47
30,28
43,24
39,45
34,38
30,45
36,22
18,20
38,30
43,39
29,36
32,44
29,41
47,36
28,38
24,46
31,20
37,46
46,24
37,34
30,32
19,20
16,23
41,17
23,40
19,22
23,38
44,44
35,30
16,31
15,35
21,49
37,29
23,49
16,24
31,25
43,25
35,18
27,48
27,15
36,38
29,19
39,23
43,42
37,43
43,43
32,22
21,32
44,38
15,25
16,23
41,23
41,40
27,35
49,22
19,15
41,38
29,29
45,33
23,16
34,29
34,27
25,41
44,46
46,24
42,22
49,37
35,31
42,33
35,40
25,19
39,45
41,28
33,44
36,26
20,45
41,28
27,44
49,40
49,20
36,33
36,36
15,25
29,43
15,15
31,20
30,46
39,29
31,42
17,17
24,31
38,26
19,30
37,30
30,21
43,24
39,16
16,27
17,25
43,36
36,35
34,41
48,30
34,17
23,32
30,32
43,48
48,18
18,44
23,37
37,34
27,45
15,33
32,38
41,27
43,39
17,24
21,42
40,18
49,47
16,41
23,23
26,17
17,39
40,38
43,23
26,38
16,23
29,42
16,17
30,21
46,28
44,36
41,25
43,25
41,34
19,21
49,26
22,24
23,37
31,23
47,21
37,38
31,18
27,37
19,26
46,24
36,45
35,46
17,36
22,44
16,29
41,30
35,17
24,30
15,18
41,19
36,28
46,16
47,28
36,21
33,36
44,40
41,47
44,33
41,26
38,23
46,15
21,45
25,22
43,34
47,38
18,25
27,16
22,34
19,35
43,34
39,31
49,19
48,27
25,36
25,37
37,38
27,30
39,18
25,30
22,24
47,41
39,22
32,44
38,39
24,26
43,33
38,25
25,37
31,22
42,31
33,33
18,33
36,24
20,26
35,26
33,19
37,33
29,21
46,16
30,19
46,29
15,48
29,21
17,29
36,33
43,33
46,34
44,27
33,26
43,37
45,24
44,37
43,43
38,18
15,19
43,36
15,19
23,15
31,29
23,16
23,42
22,47
20,43
22,29
26,15
32,47
44,43
16,40
49,17
43,22
16,22
41,37
36,46
21,23
36,42
25,22
21,42
35,21
19,21
40,27
32,28
18,37
33,16
17,42
39,49
16,22
46,43
29,44
20,19
47,48
25,27
18,34
30,20
24,19
29,18
30,45
39,28
27,27
39,43
41,28
29,37
17,42
49,34
19,35
45,32
26,15
29,44
26,29
20,17
19,17
43,34
28,34
31,15
35,32
45,26
25,35
34,32
17,46
43,24
20,45
33,42
29,17
20,33
20,37
29,15
41,25
39,41
29,35
44,46
42,49
40,30
45,27
44,35
17,23
35,43
45,32
41,26
20,23
28,36
42,39
43,45
19,23
46,41
23,37
39,44
38,43
46,15
24,37
25,48
47,30
48,38
37,46
35,46
27,20
30,26
30,16
46,36
43,38
45,22
29,27
27,26
21,19
15,33
15,16
27,20
36,21
29,21
21,47
18,26
18,19
43,47
36,40
21,24
29,24
40,32
43,39
42,22
29,49
25,15
27,20
49,25
40,24
23,49
20,46
35,34
