x,y
46.658,19.988
27.905,32.894
16.205,24.818
19.894,30.675
19.759,32.996
27.836,36.417
19.911,33.514
30.532,48.886
29.82,20.92
22.966,37.601
15.77,42.321
39.195,34.978
21.892,28.806
32.155,38.011
29.301,28.027
25.072,22.704
25.042,29.616
43.081,19.367
19.359,23.436
33.02,35.013
32.469,17.539
38.772,46.669
40.427,34.407
43.348,48.387
39.439,21.816
39.746,17.28
20.288,39.515
28.508,47.238
16.536,27.477
27.944,47.46
15.609,37.152
23.622,43.576
25.223,32.678
46.489,47.085
33.017,39.414
42.464,28.129
48.566,18.973
46.341,19.999
19.336,20.989
23.859,32.272
37.477,28.647
25.839,28.673
25.174,16.183
29.745,22.662
25.097,24.457
40.266,16.186
35.229,25.061
43.215,21.099
40.391,40.096
42.755,43.27
27.768,39.418
43.383,42.176
26.553,30.25
18.15,48.002
29.568,20.59
39.635,17.314
40.686,24.613
25.275,40.171
20.853,46.459
23.688,20.694
31.542,39.089
40.247,29.053
47.182,29.446
39.554,47.975
38.382,42.169
17.731,38.169
43.623,17.934
41.413,31.325
20.159,38.983
32.812,45.874
26.564,36.443
15.029,38.191
26.904,41.04
49.35,49.996
33.955,39.371
29.734,30.302
19.169,43.896
28.831,39.123
40.36,17.229
26.761,15.555
27.882,33.212
26.442,45.141
28.078,48.485
32.29,23.902
25.28,33.028
28.296,29.922
15.672,43.349
19.467,34.628
39.987,47.109
43.555,43.943
49.271,39.125
34.723,28.416
28.288,44.011
43.594,33.768
42.789,28.61
21.656,32.482
24.368,37.232
18.406,39.932
18.092,28.858
24.737,44.942
16.285,47.562
24.688,17.911
42.294,43.888
23.836,35.349
49.79,40.4
23.603,28.635
42.404,34.702
37.901,41.247
35.053,41.289
24.316,44.633
48.57,38.963
23.497,19.814
42.369,37.56
47.011,24.829
46.536,26.12
49.189,31.389
29.458,37.594
31.721,27.042
34.171,30.998
31.009,39.386
22.797,37.24
30.184,15.108
18.046,45.98
23.277,16.304
43.169,34.327
32.594,38.656
24.782,49.489
19.505,34.07
42.827,25.959
28.471,40.59
29.332,15.559
33.699,47.472
42.691,47.546
22.986,32.94
30.628,18.382
31.024,16.641
42.616,42.515
27.029,49.251
22.896,44.448
16.957,43.553
40.24,44.252
26.967,30.214
33.767,20.537
36.577,25.44
48.47,23.481
47.578,37.716
43.512,23.805
47.319,18.79
28.303,38.595
32.237,44.549
30.692,26.49
26.693,27.52
33.428,32.001
45.89,39.698
21.472,24.831
16.623,17.397
46.172,30.054
38.965,20.206
20.64,44.105
46.294,35.834
24.163,16.518
34.806,35.112
40.376,42.392
24.087,47.879
41.299,21.352
44.908,15.199
28.8,40.103
28.031,49.18
23.351,29.556
29.721,37.644
35.408,39.153
37.054,34.407
41.999,29.447
21.895,24.238
36.263,18.258
39.699,39.096
30.564,23.473
17.81,44.595
16.272,49.424
19.214,18.946
31.155,47.206
46.532,41.915
38.461,34.933
32.129,35.278
44.763,15.176
20.874,16.361
17.14,37.425
17.077,43.223
35.967,18.328
21.91,38.009
32.437,49.05
18.739,41.774
17.277,36.178
30.041,21.498
48.27,38.97
23.593,47.107
36.445,29.533
21.371,25.957
41.709,21.522
33.294,29.87
28.503,39.595
44.676,40.814
15.77,49.915
17.61,48.914
39.154,43.141
18.784,29.608
44.541,43.619
36.271,41.597
28.993,48.997
29.524,29.308
45.336,18.062
36.023,36.289
35.924,22.113
30.345,48.42
23.39,47.581
38.257,42.902
24.112,23.72
24.994,18.794
24.003,20.896
15.874,17.927
38.704,38.489
36.159,39.051
23.284,37.199
33.61,25.027
48.372,31.125
19.25,23.452
31.508,47.836
19.26,34.997
47.613,29.739
44.354,26.913
23.325,19.708
36.37,17.122
20.429,29.384
36.662,30.342
45.984,43.017
26.407,16.597
43.362,40.167
42.802,20.671
49.279,20.465
43.931,21.259
39.348,20.254
35.515,35.423
40.988,34.853
25.317,39.179
17.866,16.171
27.583,19.34
20.613,18.302
23.733,37.912
36.118,37.741
33.782,36.89
21.107,45.124
39.67,41.156
33.003,15.24
31.555,34.216
37.118,29.436
16.683,30.798
34.304,22.098
47.44,23.845
22.946,22.326
47.866,40.181
31.128,15.513
34.068,34.654
19.867,17.997
45.52,37.53
15.26,44.618
36.339,33.74
36.459,45.169
34.319,47.502
16.056,37.756
24.091,25.283
40.564,49.881
31.098,19.641
32.282,15.942
41.657,35.043
33.85,15.801
21.196,40.674
29.191,44.767
48.681,26.637
41.818,15.61
43.377,36.711
41.431,28.134
36.45,22.62
42.017,37.144
38.855,30.09
43.656,32.76
30.853,23.541
20.555,36.687
41.302,37.532
18.554,43.443
41.01,31.639
17.273,37.751
46.371,29.995
23.899,22.08
40.784,20.133
45.172,19.938
36.929,27.37
34.487,46.18
16.868,44.154
27.365,28.546
28.531,38.647
28.299,44.181
40.633,38.497
38.051,22.075
41.147,32.129
45.508,44.397
19.715,20.943
45.314,26.474
30.411,45.98
16.529,27.959
17.892,33.219
16.311,44.546
24.611,15.242
28.739,26.042
15.46,33.763
21.186,34.918
24.185,21.46
30.567,43.469
36.229,17.645
32.172,47.984
49.443,45.376
16.619,19.093
15.558,19.092
47.582,21.204
20.777,40.548
31.21,46.952
31.403,34.762
35.598,35.041
20.686,27.745
43.956,37.999
45.349,19.334
39.958,47.738
27.087,35.407
25.379,36.66
29.601,46.702
47.017,16.816
39.614,25.614
49.601,28.637
40.872,33.19
31.485,41.983
33.265,47.435
24.229,15.991
35.349,23.481
46.107,42.766
21.506,21.295
24.973,49.091
41.801,19.403
43.537,32.656
20.875,39.962
22.0,17.766
27.234,21.368
48.868,31.071
43.341,30.702
28.504,27.563
23.77,45.93
46.451,49.54
23.397,37.702
27.939,16.904
29.82,43.875
19.826,36.268
45.439,21.436
36.389,38.176
15.187,15.978
18.703,37.45
46.644,45.185
32.297,31.51
35.468,24.068
43.307,24.483
48.66,48.996
26.951,16.092
25.14,34.521
31.365,18.683
35.274,41.894
35.428,43.303
29.335,18.028
16.63,47.628
19.737,28.0
24.946,42.612
49.815,35.17
36.657,15.313
37.847,42.882
27.457,26.732
27.189,41.348
34.438,36.005
44.131,30.9
40.747,19.463
22.755,47.103
31.905,44.383
32.359,49.767
25.295,48.354
15.342,21.816
24.997,24.638
24.103,31.556
26.527,36.06
26.279,49.342
27.919,19.769
25.58,36.83
27.05,28.995
17.041,28.359
35.968,34.896
30.706,17.246
48.392,17.13
30.141,32.491
36.294,29.626
15.761,19.729
35.34,20.297
23.022,37.743
33.683,23.869
32.112,21.815
40.054,34.684
44.477,49.82
40.132,24.189
31.368,25.976
28.509,46.942
43.297,33.493
16.814,39.921
33.88,32.564
20.826,32.166
25.521,42.413
44.734,29.015
31.942,32.901
47.193,39.694
42.38,33.696
39.307,31.805
39.603,17.415
27.118,18.022
27.195,35.878
15.004,29.95
22.867,19.966
29.393,43.916
44.353,23.344
40.011,40.991
28.416,35.743
44.1,27.16
32.025,38.717
17.418,41.576
24.716,17.558
22.137,39.029
32.198,49.648
19.817,44.329
39.339,34.815
27.513,28.544
28.924,22.015
45.986,38.286
34.607,20.891
44.375,26.916
30.017,28.708
29.065,22.471
30.54,31.351
16.268,20.3
35.651,40.031
49.764,16.466
30.271,18.124
21.238,44.235
34.874,45.956
18.786,43.483
23.913,28.892
15.715,33.904
26.246,49.959
35.944,19.391
15.201,39.042
35.96,46.683
24.845,31.053
18.003,31.308
43.65,45.688
19.155,33.832
46.768,19.206
26.084,28.524
46.018,38.843
48.363,31.034
27.905,20.824
31.234,28.211
48.204,32.878
48.186,25.36
18.759,40.926
15.625,23.737
25.948,32.503
33.379,17.698
38.813,26.441
20.145,47.943
32.151,37.463
23.252,47.791
17.394,37.821
46.849,37.292
37.38,49.9
32.683,30.252
17.339,46.277
37.432,46.354
46.721,45.803
23.268,30.577
18.412,38.508
30.613,49.727
44.122,41.179
16.557,33.86
33.147,42.744
23.967,39.055
21.125,16.901
18.143,42.645
35.225,19.723
17.155,24.522
16.458,42.116
38.033,24.722
21.96,21.528
16.126,43.513
49.949,23.611
37.626,45.024
47.217,24.112
34.098,37.786
18.502,39.372
18.625,44.902
46.01,36.209
42.028,28.171
33.808,21.818
31.413,40.701
28.04,16.512
27.259,45.803
46.903,36.018
38.001,19.422
26.025,37.545
36.245,23.377
41.154,33.322
30.574,16.445
19.513,37.497
31.202,27.703
39.261,30.872
34.681,16.479
19.663,41.396
28.229,22.533
41.509,34.873
46.016,48.709
39.676,20.385
44.935,44.934
32.278,24.293
20.661,22.33
28.84,19.664
36.852,24.379
25.506,47.73
34.07,18.17
41.35,46.572
17.876,17.845
29.797,38.284
39.174,38.369
20.92,32.086
46.92,29.482
46.204,21.395
42.896,29.488
37.629,43.541
32.879,43.393
27.744,27.695
40.03,47.645
36.819,25.915
19.688,42.858
26.025,37.235
46.876,27.287
31.071,18.112
32.081,29.666
34.054,33.641
23.757,18.244
39.168,48.452
40.634,40.997
42.793,48.438
42.926,48.919
46.85,46.243
43.09,44.267
38.394,16.491
20.531,34.637
38.519,32.831
27.195,40.654
38.283,44.818
18.469,44.023
30.345,45.713
34.824,28.425
45.116,39.808
36.348,24.784
46.329,20.368
26.513,15.407
37.404,22.377
48.504,48.953
23.721,43.811
48.399,35.714
35.667,32.247
39.864,32.335
40.981,40.724
22.951,19.768
49.915,16.994
39.803,45.964
44.487,23.313
27.888,34.959
18.79,16.483
41.88,43.215
48.481,42.211
23.579,32.716
43.937,33.065
47.344,29.17
49.27,24.149
41.38,21.226
45.082,18.569
42.975,25.388
24.766,23.711
23.21,26.989
49.266,37.299
45.05,27.471
41.791,35.597
15.97,32.365
22.779,23.515
16.771,15.338
42.995,32.211
46.717,26.474
25.276,32.687
46.66,48.993
23.039,39.558
39.332,15.527
21.932,27.304
28.985,22.575
41.917,41.574
19.889,20.643
40.571,33.913
28.349,30.965
27.169,48.608
37.633,23.435
30.526,15.209
26.202,39.043
35.272,31.988
22.857,28.806
37.316,17.196
49.852,38.972
29.295,30.793
45.871,30.339
39.08,41.818
44.905,22.59
45.194,29.801
39.853,37.625
18.094,29.681
35.89,40.335
37.601,32.313
31.68,24.43
18.156,40.317
16.963,18.6
41.311,35.865
16.907,49.462
37.315,18.844
36.856,34.306
28.975,23.713
18.614,26.923
15.173,19.217
49.363,15.636
41.225,21.511
18.662,26.882
20.681,39.522
29.9,26.12
32.618,34.486
28.791,20.931
19.749,23.713
28.967,45.128
44.156,25.423
21.517,40.838
48.016,25.453
17.182,35.312
49.411,17.661
23.997,45.035
42.289,41.201
36.23,30.622
43.465,27.678
49.397,24.383
44.047,49.031
41.552,34.666
39.609,46.434
26.207,20.643
25.032,21.512
27.499,41.916
31.679,16.507
17.265,36.048
40.472,24.858
20.822,32.855
38.075,37.622
40.875,48.408
22.302,20.105
28.829,31.324
49.197,43.249
36.78,45.555
40.33,48.755
49.73,44.728
41.394,24.669
22.287,46.103
32.555,16.429
46.047,25.506
20.242,32.683
19.301,34.738
26.555,40.281
36.095,20.791
49.489,18.906
29.879,46.95
33.749,32.85
16.14,28.73
34.587,38.655
40.137,16.071
17.433,39.118
18.304,42.921
25.016,41.201
38.553,28.006
29.231,29.961
41.024,33.912
33.821,44.524
41.007,17.963
38.591,20.074
48.44,22.317
29.704,49.076
29.375,15.495
23.975,21.898
42.991,29.213
27.466,19.097
48.02,38.775
38.583,15.381
20.429,21.195
44.163,16.472
21.496,39.76
34.402,34.158
31.07,25.355
33.323,42.46
40.761,19.958
22.724,19.306
23.368,43.169
38.82,47.672
16.538,28.416
19.87,22.129
30.606,39.996
27.467,26.845
30.773,36.931
47.101,42.326
46.193,21.887
20.649,39.425
41.139,26.713
42.104,20.544
37.775,27.501
45.482,40.744
16.09,35.801
47.132,25.319
38.011,45.084
23.377,17.255
26.142,33.05
34.608,42.454
42.121,21.912
23.649,40.704
21.714,19.764
24.323,41.781
23.257,33.074
27.765,35.439
19.171,15.107
18.227,27.987
44.666,36.151
32.54,24.17
48.894,36.444
27.677,37.696
24.483,33.051
46.613,32.717
31.566,16.492
21.272,30.719
17.522,31.96
37.346,49.783
23.362,19.885
41.294,30.909
46.407,30.215
39.597,17.267
32.11,44.435
34.803,31.189
15.385,39.944
35.108,38.579
32.866,32.928
24.21,49.17
22.059,29.892
19.47,33.118
45.412,28.32
44.677,39.336
25.612,38.213
19.786,34.227
20.623,28.824
43.343,33.089
36.967,34.277
41.996,28.533
35.176,29.779
22.5,29.451
42.765,49.68
19.912,39.767
32.962,22.003
46.406,21.769
35.548,27.904
23.416,48.09
35.949,47.896
48.116,28.276
25.62,46.151
20.695,47.028
21.006,28.555
28.398,29.843
48.217,43.896
41.688,36.786
25.59,33.243
45.752,34.691
21.332,45.213
47.387,18.531
49.236,37.682
19.552,43.047
17.166,20.683
42.277,41.162
17.265,31.166
28.631,24.8
45.572,19.176
28.018,42.701
37.897,39.701
18.056,43.842
27.328,46.85
25.479,27.342
18.599,46.662
22.188,18.495
34.696,44.961
34.55,23.538
40.223,22.008
22.129,18.748
20.546,40.649
23.396,44.081
47.797,34.421
17.144,49.683
17.49,25.582
40.519,28.794
15.531,21.261
39.653,44.961
47.382,30.382
43.107,38.5
16.27,46.909
29.51,45.399
16.653,42.671
31.304,17.976
22.125,44.843
33.167,48.384
36.439,33.131
28.636,41.233
46.338,39.76
35.993,47.964
21.201,20.235
47.935,29.362
49.675,41.834
16.946,20.93
21.036,18.705
42.427,40.99
31.364,30.995
20.962,16.207
44.705,18.618
16.449,18.914
25.24,39.869
19.872,27.359
47.284,40.949
27.31,19.279
48.273,40.53
18.077,18.249
34.162,41.458
21.785,24.711
17.234,41.394
19.012,48.359
35.998,42.494
25.663,42.068
35.692,17.667
44.155,20.283
43.727,22.663
18.116,25.108
25.007,18.582
46.041,40.03
29.42,18.224
49.725,37.835
45.981,31.649
18.9,46.753
34.574,16.125
40.952,25.096
38.903,47.666
16.016,17.156
28.984,20.267
35.224,24.705
47.907,49.356
25.495,21.22
17.213,46.45
32.914,25.983
31.85,34.357
49.826,21.907
37.611,23.66
44.768,27.557
45.292,18.375
18.573,36.628
47.074,45.454
33.941,22.067
29.041,28.219
20.753,29.087
18.875,37.838
29.984,43.487
45.241,27.01
47.142,33.218
27.032,27.97
46.253,31.806
20.704,23.021
16.667,21.987
44.386,48.337
45.39,41.596
30.424,39.829
34.681,44.712
29.408,43.821
33.178,16.342
24.733,28.341
30.303,34.014
16.149,19.927
25.918,17.09
29.963,26.033
33.167,38.971
19.21,43.633
28.825,22.847
41.478,17.943
22.412,37.472
44.109,15.997
25.465,42.457
46.977,20.846
36.842,39.401
22.801,20.712
47.388,46.771
37.847,33.679
27.041,48.277
49.257,37.789
28.742,23.939
19.015,33.29
32.091,23.451
24.698,29.566
35.309,44.177
16.669,42.711
35.201,39.825
40.81,33.479
26.133,38.619
25.032,32.946
25.581,16.764
26.73,19.628
23.066,34.693
21.404,39.612
45.454,18.437
30.441,35.807
19.776,17.66
30.2,45.353
26.494,47.167
33.235,31.663
32.08,24.768
30.762,29.388
39.943,46.473
45.78,31.818
25.466,21.362
17.249,48.407
32.466,45.788
32.839,47.512
36.504,48.856
25.716,17.954
18.58,44.973
49.825,26.174
43.488,23.835
15.469,39.06
31.034,43.293
44.446,46.492
22.658,30.786
30.56,37.261
17.393,39.576
43.764,18.445
31.199,28.948
21.077,15.601
19.238,45.849
38.803,35.276
49.378,39.924
16.836,18.194
20.82,33.107
37.22,18.682
36.351,29.406
39.849,22.06
41.021,39.694
21.467,23.14
47.657,49.997
40.928,15.467
38.668,40.7
30.226,32.026
28.998,39.527
43.747,17.18
32.858,45.613
34.331,24.75
41.964,18.665
34.255,32.701
29.518,28.686
29.722,28.373
34.897,23.103
46.422,19.506
23.841,41.513
45.701,32.391
18.909,36.242
29.038,20.899
32.791,23.361
47.621,20.702
27.219,49.051
24.567,37.803
28.827,35.127
29.116,26.954
45.158,42.391
37.759,37.061
48.768,21.645
34.811,27.976
43.208,24.343
29.647,26.781
38.828,47.951
25.578,15.517
26.055,48.876
42.496,23.852
44.838,31.503
32.53,22.11
42.837,47.93
48.888,48.739
36.757,42.781
47.781,34.341
40.439,36.46
33.757,18.399
42.552,43.853
38.356,39.763
20.359,21.52
42.077,15.325
41.954,34.512
30.272,22.962
31.31,44.782
35.909,37.459
25.949,44.031
38.567,39.334
45.202,20.661
42.114,30.686
26.231,47.87
25.275,40.829
26.979,29.83
23.332,19.48
38.794,21.203
41.354,41.69
18.257,43.622
49.887,28.342
20.26,23.633
43.567,46.137
25.48,28.097
49.929,22.796
32.675,37.178
22.821,37.845
19.856,28.117
43.156,24.116
22.077,42.23
43.038,24.767
29.779,47.311
22.674,47.546
47.738,40.016
31.918,17.071
31.719,35.15
34.376,24.22
21.536,23.172
16.174,15.333
40.511,43.217
33.894,35.127
16.882,19.712
49.227,31.561
24.224,35.613
38.01,20.47
48.735,33.303
31.231,33.393
19.326,29.952
28.244,24.085
15.133,15.113
38.468,15.554
29.174,22.986
41.403,42.581
39.92,23.248
45.964,32.214
15.939,41.665
19.164,34.837
31.421,23.832
15.723,36.484
26.833,15.389
49.069,40.345
19.001,22.927
15.916,36.39
30.373,25.488
31.934,31.054
48.458,19.3
22.214,33.938
39.759,31.26
15.759,29.476
15.593,22.888
30.161,28.46
15.662,39.547
42.455,43.474
32.204,30.278
24.904,25.591
42.589,24.268
28.645,39.211
30.702,43.697
42.336,39.596
26.268,19.056
15.675,49.77
32.572,44.649
18.645,44.771
17.981,18.288
22.537,37.466
19.35,47.39
49.108,34.906
28.058,32.281
40.947,49.966
49.831,48.832
39.012,40.868
17.299,19.911
22.878,22.604
20.558,19.517
27.862,29.989
19.523,21.588
25.721,39.602
41.371,25.308
35.156,42.068
22.198,19.581
20.046,37.039
39.279,29.497
26.519,27.465
35.663,24.517
41.874,25.293
18.147,18.033
41.855,35.579
25.561,24.916
27.67,45.249
48.443,48.632
35.793,20.489
16.492,23.083
45.267,23.481
30.032,38.586
34.381,28.133
27.794,21.914
26.285,43.789
24.09,44.745
41.163,15.421
45.238,20.894
24.546,17.317
36.371,15.503
22.546,22.743
16.159,41.567
44.903,49.279
18.777,45.945
28.112,46.249
21.027,20.79
47.615,30.991
34.349,29.27
44.591,28.421
28.023,24.601
29.455,43.791
37.735,48.24
40.527,17.243
20.082,28.37
48.732,29.888
28.348,49.746
30.297,17.047
25.557,25.893
27.933,33.901
35.242,46.246
33.344,36.77
22.493,27.587
39.632,15.596
43.434,40.628
44.179,19.234
44.996,39.569
47.28,43.687
28.09,18.496
29.714,29.037
16.869,22.182
39.975,49.225
32.204,39.149
48.887,42.643
23.056,46.224
39.517,25.984
15.151,47.423
17.587,37.435
19.697,39.881
31.05,48.436
27.974,29.673
20.331,45.209
41.02,36.853
23.741,17.298
26.279,15.937
32.69,45.84
44.643,37.685
24.622,21.932
44.628,34.421
28.998,19.283
16.442,42.66
41.901,21.403
48.397,20.739
30.085,45.492
36.682,30.677
32.322,35.155
48.648,38.533
46.61,22.245
31.862,18.737
32.801,32.081
24.254,33.079
41.824,20.747
41.0,37.169
28.301,48.259
33.029,34.238
49.938,40.932
28.902,18.721
22.264,40.821
28.612,31.763
46.339,39.377
32.42,25.884
28.993,36.55
38.12,22.742
20.491,27.725
16.33,26.862
28.365,21.288
23.119,15.406
29.702,31.643
44.096,22.558
36.105,45.99
20.528,44.624
20.458,43.036
19.939,34.39
41.213,33.451
15.974,26.936
41.334,41.198
40.859,18.824
30.425,17.791
20.14,33.11
38.846,46.568
34.09,44.222
29.625,48.024
24.329,38.911
44.882,27.827
44.734,31.199
24.74,48.539
36.034,46.801
35.633,34.704
28.217,38.222
37.239,25.982
45.92,30.975
47.243,32.269
36.557,23.859
39.196,22.985
41.488,34.406
19.779,49.276
46.688,26.327
19.689,32.569
20.71,22.722
19.043,24.354
15.074,45.692
36.546,35.176
32.072,23.403
48.912,22.658
43.832,17.064
17.409,22.1
33.447,20.553
29.15,37.543
19.561,25.99
30.237,28.716
34.858,30.315
49.433,29.166
24.476,20.366
41.812,25.471
44.545,15.367
37.409,36.95
26.136,25.161
23.941,19.586
26.454,29.264
45.788,39.01
28.244,32.783
34.005,39.127
25.071,33.896
28.881,45.489
44.725,40.656
45.79,16.497
49.866,36.393
23.551,46.84
38.215,23.035
33.564,21.0
23.092,30.597
32.097,46.791
38.454,20.453
31.725,49.039
32.032,29.39
36.374,48.453
31.938,44.179
44.334,47.807
48.881,49.739
41.831,18.928
39.545,27.135
37.536,33.016
31.119,28.926
22.375,28.901
46.628,33.837
27.095,31.965
49.658,17.525
45.434,36.681
35.045,40.079
43.52,38.831
22.915,15.217
35.528,46.516
31.573,15.505
37.677,46.739
21.883,32.974
32.874,26.229
28.421,49.387
32.777,18.686
36.108,18.953
35.833,45.391
44.415,27.839
15.874,28.7
37.134,31.895
49.324,29.049
45.563,17.976
46.293,21.996
46.822,45.278
41.839,39.313
20.822,28.725
34.422,30.869
33.714,39.819
19.374,49.414
47.525,23.673
36.651,33.046
34.385,42.255
49.301,42.316
24.854,31.741
39.806,20.756
23.753,46.302
40.581,41.65
41.366,15.128
26.388,15.819
38.43,20.293
30.838,35.208
40.666,45.552
21.274,26.391
44.99,43.588
38.081,32.813
37.633,45.822
31.126,18.262
23.662,41.372
16.256,28.787
41.227,31.873
38.383,23.918
36.0,48.985
20.916,41.929
35.565,27.359
46.512,32.566
41.336,30.296
44.751,38.463
38.224,16.835
27.418,46.724
28.061,34.986
38.458,35.616
19.039,46.427
23.08,21.222
47.699,36.493
29.25,19.871
39.597,35.783
43.763,41.051
19.54,42.112
25.776,25.1
17.68,35.352
23.69,27.688
26.834,45.233
29.226,36.506
44.263,37.5
19.424,18.763
27.322,23.001
37.291,25.43
22.281,31.853
30.81,34.057
31.212,27.686
27.659,37.797
16.155,37.591
29.487,18.854
23.152,31.088
40.644,43.009
26.168,35.625
18.649,28.256
42.993,25.408
19.855,41.607
23.259,41.385
24.32,49.263
29.422,49.976
15.277,29.598
35.65,23.195
25.103,33.391
29.31,22.901
24.077,47.386
34.156,21.084
45.935,43.59
39.719,28.35
22.499,28.135
20.542,31.695
35.338,26.491
28.861,31.132
21.093,30.528
29.298,41.9
17.864,33.664
40.447,33.631
22.779,49.666
36.039,47.568
24.56,32.474
16.4,21.919
36.097,34.777
46.034,18.588
43.254,44.343
32.738,40.873
15.323,45.835
39.609,47.67
28.342,20.647
35.474,34.919
27.104,28.463
36.779,48.852
27.31,38.29
47.99,23.437
30.888,36.764
19.992,19.417
23.159,37.729
44.14,45.422
36.534,48.883
25.196,37.617
27.091,44.461
38.102,17.134
23.745,48.065
37.622,43.116
42.435,29.907
37.225,31.261
28.103,35.593
45.983,27.939
49.451,35.642
40.366,22.983
49.01,24.362
28.519,34.688
28.762,20.036
40.842,47.436
35.739,24.477
48.816,46.737
